items_availability,items_manufacturer,items_name,items_old_price,items_price
 Out of Stock,ASUS,ASUS X540UB,,Rs. 90000
 Out of Stock,ASUS,Asus STRIX SCAR GL503GE,,Rs. 208750
 Out of Stock,ASUS,ASUS VivoBooK Intel Core i3 7th Gen 14-inch Thin and Light Laptop (4GB/1TB HDD/Windows 10),,Rs. 61250
 Out of Stock,ASUS,"Asus X407UA 8th Gen Core i3 14.0"" HD Laptop With Genuine Win 10",,Rs. 67500
 Out of Stock,Kingston-HYPERX,"ASUS X507UA ( Core i5-8th Gen/ 1TB HDD / 15.6"" FHD/ Windows 10 )",,Rs. 82500
 Out of Stock,ASUS,"Asus VivoBook X412FA 14"" Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) Peacock Blue",,Rs. 86250
 Out of Stock,ASUS,"ASUS 13.3"" ZenBook UX331FAL Laptop Intel i5 8GB RAM 256GB",,Rs. 130000
 Out of Stock,ASUS,"Asus X507UB Intel Core i5-8250U, 4GB, 1TB, NVIDIA MX110 2GB",,Rs. 98750
 Out of Stock,i5|i7,ASUS Gaming FX505GE 15.6-inch FHD Laptop (8th Gen/8GB RAM/1TB/Windows 10,,Rs. 131250
 Out of Stock,ASUS,ASUS VivoBook S430UN 8TH Gen i5 / 8GB RAM / 1TB/ 14 FHD / Nvidia MX150 2GB,,Rs. 121250
 Out of Stock,ASUS,ASUS Gaming FX505GM 15.6-inch FHD Laptop (8th Gen/8GB RAM/1TB SSHD /Windows 10,,Rs. 178750
 Out of Stock,ASUS,ASUS ZENBOOK UX391UA ULTRABOOK (CORE I7 8TH GEN/16 GB/512 GB SSD/Windows 10),,Rs. 255000
 Out of Stock,ASUS,Asus G703GI Gaming Laptop (8th Gen Intel Core i9-8950HK/64GB/2TB SSHD/Windows 10/GTX 1080 8GB Graphics),,Rs. 493750
 Out of Stock,ASUS,ASUS E203NAH DOS Laptop,,Rs. 42500
 Out of Stock,ASUS,ASUS X407MA Laptop- Quad Core Pentium,,Rs. 49375
 Out of Stock,ASUS,ASUS VivoBook S430UN 8TH Gen i7 / 8GB RAM / 1TB/ 14 FHD / Nvidia MX150 2GB,,Rs. 140000
 Out of Stock,i5|i7,ASUS ZenBook 14 UX433FN Laptop (8GB RAM/512GB PCIe SSD/Windows 10/MX150 2GB Graphics),,Rs. 160000
